,event_id,timestamp,subject_id,session_index,plane,setup,task,block,trial_index,stim_type,headpose_offset_azi,headpose_offset_ele,stim_filename,stim_level,mgb_level,fluctuation,speaker_id,speaker_proc,speaker_chan,stim_azi,stim_ele,stim_dist,resp_azi,resp_ele,resp_dist,reaction_time
0,,2024-07-22 15:35:53,sub_117,3,distance,cathedral,localisation_accuracy,1,0,babble,,,babble-reversed_n13_p256-three-p318-two-p229-nine-p248-four-p284-one-p268-eight.wav,91.91660056518914,30,-0.13907032872463176,8,RX81,9,0.0,0.0,10.0,0,0,10.75659824046921,8.5774564743042
0,,2024-07-22 15:36:02,sub_117,3,distance,cathedral,localisation_accuracy,1,1,babble,,,babble-reversed_n13_p229-nine-p307-five-p256-two-p248-three-p245-one-p268-eight.wav,91.85489553358669,30,-0.21182688334064914,9,RX81,10,0.0,0.0,11.0,0,0,7.809384164222875,7.749390125274658
0,,2024-07-22 15:36:08,sub_117,3,distance,cathedral,localisation_accuracy,1,2,babble,,,babble-reversed_n13_p256-four-p229-eight-p307-five-p248-three-p245-one-p284-two.wav,93.16843145038456,30,0.23767886009139083,10,RX81,11,0.0,0.0,12.0,0,0,9.070381231671554,4.921464443206787
0,,2024-07-22 15:36:14,sub_117,3,distance,cathedral,localisation_accuracy,1,3,babble,,,babble-reversed_n13_p229-five-p318-three-p307-two-p245-four-p284-nine-p248-eight.wav,91.64473862347475,30,0.07965848322130964,6,RX81,7,0.0,0.0,8.0,0,0,5.859237536656892,4.202762842178345
0,,2024-07-22 15:36:19,sub_117,3,distance,cathedral,localisation_accuracy,1,4,babble,,,babble-reversed_n13_p307-two-p256-four-p318-three-p284-eight-p248-five-p245-nine.wav,92.08203894799631,30,0.47879258583003603,7,RX81,8,0.0,0.0,9.0,0,0,4.700879765395895,3.765293598175049
0,,2024-07-22 15:36:23,sub_117,3,distance,cathedral,localisation_accuracy,1,5,babble,,,babble-reversed_n13_p229-five-p256-one-p318-three-p248-nine-p268-four-p284-eight.wav,89.31337385122835,30,0.23488094924615388,3,RX81,4,0.0,0.0,5.0,0,0,6.70967741935484,3.2028541564941406
0,,2024-07-22 15:36:28,sub_117,3,distance,cathedral,localisation_accuracy,1,6,babble,,,babble-reversed_n13_p307-five-p229-three-p318-nine-p245-four-p268-eight-p284-two.wav,90.68757714288589,30,0.4989060303882856,5,RX81,6,0.0,0.0,7.0,0,0,8.234604105571847,3.9684128761291504
0,,2024-07-22 15:36:34,sub_117,3,distance,cathedral,localisation_accuracy,1,7,babble,,,babble-reversed_n13_p256-four-p307-eight-p318-two-p248-three-p284-nine-p268-one.wav,87.5137269820956,30,-0.08207739246606838,2,RX81,3,0.0,0.0,4.0,0,0,3.0733137829912023,5.187089920043945
0,,2024-07-22 15:36:39,sub_117,3,distance,cathedral,localisation_accuracy,1,8,babble,,,babble-reversed_n13_p229-nine-p256-four-p318-three-p268-eight-p248-two-p284-five.wav,89.45883729598614,30,0.1944498714993248,4,RX81,5,0.0,0.0,6.0,0,0,3.6891495601173023,3.187208414077759
0,,2024-07-22 15:36:43,sub_117,3,distance,cathedral,localisation_accuracy,1,9,babble,,,babble-reversed_n13_p318-five-p256-nine-p307-two-p245-eight-p248-one-p284-four.wav,86.29179098457814,30,0.1289390833497689,1,RX81,2,0.0,0.0,3.0,0,0,3.1759530791788864,3.4528186321258545
0,,2024-07-22 15:36:49,sub_117,3,distance,cathedral,localisation_accuracy,1,10,babble,,,babble-reversed_n13_p307-nine-p318-two-p256-one-p245-three-p268-four-p248-eight.wav,84.69499755273007,30,0.44056651442022543,0,RX81,1,0.0,0.0,2.0,0,0,2.2521994134897367,4.202800035476685
0,,2024-07-22 15:36:52,sub_117,3,distance,cathedral,localisation_accuracy,1,11,babble,,,babble-reversed_n13_p318-four-p256-five-p229-three-p284-one-p245-eight-p248-nine.wav,89.31922158270339,30,0.24327670347578978,3,RX81,4,0.0,0.0,5.0,0,0,3.2492668621700886,2.8278584480285645
0,,2024-07-22 15:36:57,sub_117,3,distance,cathedral,localisation_accuracy,1,12,babble,,,babble-reversed_n13_p229-two-p307-five-p318-four-p284-one-p248-nine-p268-eight.wav,87.40511124900839,30,-0.23849753859336698,2,RX81,3,0.0,0.0,4.0,0,0,2.838709677419355,3.218477725982666
0,,2024-07-22 15:37:03,sub_117,3,distance,cathedral,localisation_accuracy,1,13,babble,,,babble-reversed_n13_p229-two-p256-three-p318-eight-p284-five-p268-four-p245-one.wav,93.13010156630676,30,0.18341464529365925,10,RX81,11,0.0,0.0,12.0,0,0,7.6334310850439895,5.577669382095337
0,,2024-07-22 15:37:10,sub_117,3,distance,cathedral,localisation_accuracy,1,14,babble,,,babble-reversed_n13_p256-four-p229-eight-p307-five-p248-three-p245-one-p284-two.wav,92.14103943259053,30,0.1781617339958027,8,RX81,9,0.0,0.0,10.0,0,0,7.66275659824047,5.062146186828613
0,,2024-07-22 15:37:16,sub_117,3,distance,cathedral,localisation_accuracy,1,15,babble,,,babble-reversed_n13_p307-two-p256-four-p318-three-p284-eight-p248-five-p245-nine.wav,92.2262453528293,30,0.3110771237722685,9,RX81,10,0.0,0.0,11.0,0,0,7.237536656891496,5.0798420906066895
0,,2024-07-22 15:37:21,sub_117,3,distance,cathedral,localisation_accuracy,1,16,babble,,,babble-reversed_n13_p256-three-p318-two-p229-nine-p248-four-p284-one-p268-eight.wav,86.19590454143683,30,-0.011634616832412847,1,RX81,2,0.0,0.0,3.0,0,0,3.4692082111436955,3.8434345722198486
0,,2024-07-22 15:37:26,sub_117,3,distance,cathedral,localisation_accuracy,1,17,babble,,,babble-reversed_n13_p229-five-p256-three-p318-nine-p248-two-p284-four-p268-one.wav,89.48765442667522,30,0.23320326895495092,4,RX81,5,0.0,0.0,6.0,0,0,6.137829912023461,3.859058141708374
0,,2024-07-22 15:37:31,sub_117,3,distance,cathedral,localisation_accuracy,1,18,babble,,,babble-reversed_n13_p229-five-p256-three-p318-nine-p248-two-p284-four-p268-one.wav,84.24800796545519,30,-0.22624445648861435,0,RX81,1,0.0,0.0,2.0,0,0,3.029325513196481,4.202823638916016
0,,2024-07-22 15:37:36,sub_117,3,distance,cathedral,localisation_accuracy,1,19,babble,,,babble-reversed_n13_p229-one-p318-nine-p256-four-p284-eight-p268-five-p245-two.wav,90.00081201651494,30,-0.4831450448044625,5,RX81,6,0.0,0.0,7.0,0,0,6.255131964809385,3.609074354171753
0,,2024-07-22 15:37:40,sub_117,3,distance,cathedral,localisation_accuracy,1,20,babble,,,babble-reversed_n13_p256-three-p318-two-p229-nine-p248-four-p284-one-p268-eight.wav,92.09500441326617,30,0.4969956243272504,7,RX81,8,0.0,0.0,9.0,0,0,8.791788856304986,3.4528584480285645
0,,2024-07-22 15:37:46,sub_117,3,distance,cathedral,localisation_accuracy,1,21,babble,,,babble-reversed_n13_p229-one-p318-nine-p256-four-p284-eight-p268-five-p245-two.wav,91.86387374197152,30,0.39446864071363064,6,RX81,7,0.0,0.0,8.0,0,0,9.422287390029327,4.577739238739014
0,,2024-07-22 15:37:52,sub_117,3,distance,cathedral,localisation_accuracy,1,22,babble,,,babble-reversed_n13_p229-five-p318-two-p307-eight-p268-three-p248-four-p245-one.wav,92.33579698387118,30,0.4561706981651843,8,RX81,9,0.0,0.0,10.0,0,0,11.181818181818183,4.3278234004974365
0,,2024-07-22 15:37:56,sub_117,3,distance,cathedral,localisation_accuracy,1,23,babble,,,babble-reversed_n13_p256-three-p318-one-p307-two-p284-nine-p268-four-p245-eight.wav,87.49619141975461,30,-0.10738631646337327,2,RX81,3,0.0,0.0,4.0,0,0,11.049853372434018,3.265328884124756
0,,2024-07-22 15:38:01,sub_117,3,distance,cathedral,localisation_accuracy,1,24,babble,,,babble-reversed_n13_p318-three-p229-one-p256-eight-p245-five-p248-four-p284-nine.wav,91.83770577672982,30,-0.23581241506300943,9,RX81,10,0.0,0.0,11.0,0,0,11.75366568914956,3.7965621948242188
0,,2024-07-22 15:38:05,sub_117,3,distance,cathedral,localisation_accuracy,1,25,babble,,,babble-reversed_n13_p229-eight-p256-nine-p318-four-p245-three-p268-five-p284-two.wav,91.48650469257478,30,-0.14563161170230465,6,RX81,7,0.0,0.0,8.0,0,0,12.090909090909092,3.093465805053711
0,,2024-07-22 15:38:12,sub_117,3,distance,cathedral,localisation_accuracy,1,26,babble,,,babble-reversed_n13_p229-one-p318-eight-p256-three-p268-nine-p248-five-p284-four.wav,90.24078434119868,30,-0.1436399610549387,5,RX81,6,0.0,0.0,7.0,0,0,7.193548387096774,5.702659606933594
0,,2024-07-22 15:38:17,sub_117,3,distance,cathedral,localisation_accuracy,1,27,babble,,,babble-reversed_n13_p256-five-p229-one-p318-three-p248-nine-p284-eight-p268-two.wav,89.19736057209217,30,0.06879833975674576,3,RX81,4,0.0,0.0,5.0,0,0,5.712609970674487,4.1402668952941895
